Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
32078,Amnesia Moon,Jonathan Lethem,"Lethem, Jonathan",,"=""015603154X""","=""9780156031547""",3,3.49,Mariner Books,Paperback,256,2005,1995,,2007/11/29,scifi,scifi (#54),read,,,,,,,0,,,,,
169718,Babbitt,Sinclair Lewis,"Lewis, Sinclair",,"=""142640607X""","=""9781426406072""",4,3.64,BiblioLife,Paperback,348,2008,1922,1996/01/01,2007/11/29,"american, library","american (#39), library (#84)",read,,,,,,,0,,,,,
589058,A Passage to India ,E.M. Forster,"Forster, E.M.",,"=""0156711427""","=""9780156711425""",3,3.66,"A Harvest Book/Harcourt, Inc.",Paperback,362,,1924,1998/01/01,2007/11/29,"british, for-school","british (#18), for-school (#50)",read,,,,,,,0,,,,,
676737,Grendel,John Gardner,"Gardner, John",,"=""0679723110""","=""9780679723110""",4,3.69,Random House Vintage Books,Paperback,174,2010,1970,1998/01/01,2007/11/29,"british, fantasy, for-school","british (#16), fantasy (#19), for-school (#47)",read,,,,,,,0,,,,,
99300,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""0486298574""","=""9780486298573""",5,4.01,Dover Publications,Paperback,70,1997,1892,,2007/11/29,"american, classics, for-school","american (#32), classics (#44), for-school (#65)",read,,,,,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",3,3.88,Scribner,Paperback,180,2004,1925,1999/01/01,2007/11/29,"american, for-school","american (#28), for-school (#41)",read,,,,,,,0,,,,,
10883,Benjamin Franklin: An American Life,Walter Isaacson,"Isaacson, Walter",,"=""074325807X""","=""9780743258074""",2,3.96,Simon & Schuster,Paperback,493,2004,2003,1999/01/01,2007/11/29,"american, classics, for-school","american (#19), classics (#35), for-school (#35)",read,,,,,,,0,,,,,
505483,A Raisin in the Sun,Lorraine Hansberry,"Hansberry, Lorraine",Robert Nemiroff,"=""0679755330""","=""9780679755333""",4,3.71,Vintage,Mass Market Paperback,151,2004,1959,2002/01/01,2007/11/29,"american, for-school","american (#10), for-school (#16)",read,,,,,,,0,,,,,
36529,Narrative of the Life of Frederick Douglass,Frederick Douglass,"Douglass, Frederick",,"=""1580495761""","=""9781580495769""",4,3.96,Ingram,Paperback,158,2004,1845,1999/01/01,2007/11/29,"for-school, classics, american","for-school (#13), classics (#21), american (#7)",read,,,,,,,0,,,,,
752641,The Souls of Black Folk,W.E.B. Du Bois,"Bois, W.E.B. Du",,"=""0486280411""","=""9780486280417""",4,4.23,Dover Publications,Paperback,176,1994,1903,1999/01/01,2007/11/29,"american, classics, for-school","american (#4), classics (#17), for-school (#9)",read,,,,,,,0,,,,,
827685,Up from Slavery,Booker T. Washington,"Washington, Booker T.",Ishmael Reed,"=""0451527542""","=""9780451527547""",4,4.08,Signet Classics,Paperback,256,2000,1900,1999/01/01,2007/11/29,"american, classics, for-school","american (#3), classics (#16), for-school (#8)",read,,,,,,,0,,,,,
1369997,The Autobiography of an Ex-Colored Man,James Weldon Johnson,"Johnson, James Weldon",William L. Andrews,"=""0140184023""","=""9780140184020""",5,3.91,Penguin Classics,Paperback,158,1990,1912,1999/01/01,2007/11/29,"for-school, american, classics","for-school (#7), american (#2), classics (#15)",read,,,,,,,0,,,,,
133914,The Ways of White Folks,Langston Hughes,"Hughes, Langston",,"=""0679728171""","=""9780679728177""",3,4.40,Vintage,Paperback,255,1990,1934,,2007/11/29,"american, for-school","american (#24), for-school (#39)",read,,,,,,,0,,,,,
